Threads,AVG_TAT
2,1.355
3,0.043
4,0.102
5,0.065
6,0.279
7,0.476
8,0.245
9,0.015
10,0.035
11,0.011
12,0.013
13,0.015
14,0.014
15,0.015
16,0.021
17,0.009
18,0.012
19,0.014
20,0.019
21,0.015
22,0.025
23,0.014
24,0.015
25,0.014
26,0.017
27,0.013
28,0.022
29,0.014
30,0.014
31,0.014
32,0.023
33,0.019
34,0.025
35,0.015
36,0.018
37,0.019
38,0.015
39,0.020
40,0.016
41,0.019
42,0.030
43,0.020
44,0.022
45,0.017
46,0.018
47,0.018
48,0.027
49,266.391
50,0.029
51,0.020
52,0.022
53,0.057
54,0.079
55,0.055
56,0.088
57,0.017
58,0.057
59,0.092
60,0.024
61,0.017
62,0.058
63,0.016
64,0.019
65,0.038
66,0.020
67,0.022
68,0.157
69,0.063
70,0.025
71,0.035
72,0.102
73,0.026
74,0.023
75,0.027
76,0.026
77,0.027
78,0.031
79,0.029
80,0.078
81,0.033
82,0.049
83,10.474
84,0.034
85,0.037
86,0.031
87,0.081
88,0.030
89,0.029
90,0.035
91,0.075
92,0.044
93,169.777
94,0.029
95,0.133
96,0.088
97,0.050
98,0.045
99,0.040
100,0.039
