Threads,AVG_TAT
2,1.048
3,0.037
4,0.077
5,0.113
6,0.488
7,0.108
8,0.228
9,0.010
10,0.039
11,0.045
12,0.136
13,0.017
14,0.015
15,0.024
16,0.013
17,0.013
18,0.013
19,0.012
20,0.018
21,0.017
22,0.016
23,0.021
24,0.017
25,0.055
26,0.186
27,0.131
28,0.180
29,156.837
30,0.022
31,0.061
32,0.040
33,0.082
34,0.055
35,4.278
36,4.090
37,0.067
38,0.056
39,0.050
40,0.076
41,0.019
42,0.015
43,0.031
44,0.016
45,0.032
46,0.016
47,0.074
48,0.026
49,0.158
50,0.115
51,564.171
52,0.038
53,0.035
54,0.030
55,0.027
56,0.026
57,0.027
58,0.027
59,0.302
60,0.023
61,0.027
62,0.026
63,0.019
64,0.329
65,0.119
66,429.617
67,0.042
68,0.037
69,0.078
70,0.031
71,0.021
72,4.558
73,257.687
74,0.138
75,0.151
76,0.233
77,0.132
78,0.059
79,273.529
80,487.009
81,0.127
82,0.195
83,0.099
84,0.038
85,1748.787
86,60.300
87,0.041
88,0.055
89,0.044
90,0.102
91,0.156
92,0.154
93,0.027
94,0.024
95,0.115
96,0.027
97,0.033
98,0.119
99,0.030
100,0.027
