Threads,AVG_TAT
2,1.180
3,0.035
4,0.133
5,0.168
6,0.325
7,0.510
8,0.025
9,0.042
10,0.020
11,1.043
12,0.032
13,0.080
14,0.094
15,0.332
16,0.264
17,0.111
18,0.143
19,0.134
20,0.137
21,0.180
22,0.185
23,0.153
24,0.329
25,0.221
26,0.184
27,0.199
28,0.251
29,0.205
30,0.328
31,0.234
32,0.836
33,0.520
34,0.506
35,0.256
36,0.354
37,0.612
38,0.313
39,0.315
40,0.440
41,0.322
42,0.455
43,0.353
44,0.329
45,0.371
46,0.358
47,0.433
48,0.396
49,0.401
50,0.532
51,0.379
52,0.477
53,0.444
54,0.455
55,0.524
56,0.745
57,0.524
58,0.541
59,0.527
60,0.546
61,0.587
62,0.586
63,0.615
64,0.606
65,0.625
66,0.754
67,0.646
68,0.634
69,0.700
70,0.792
71,0.720
72,0.693
73,0.776
74,0.731
75,0.832
76,1.353
77,0.884
78,0.830
79,0.822
80,0.874
81,0.865
82,0.912
83,0.908
84,0.902
85,0.987
86,0.941
87,0.947
88,0.928
89,1.036
90,1.028
91,1.049
92,1.205
93,1.098
94,1.161
95,1.122
96,1.227
97,1.180
98,1.278
99,1.282
100,1.231
